distance,anomaly,rtp
0,-51.57,87.09255304023367
10,-52.99,106.80609396761601
20,-54.46,124.74081267587002
30,-55.99,133.65411868269956
40,-57.59,130.36669487031992
50,-59.25,116.1435188118939
60,-60.99,94.611387917914
70,-62.79,76.60149769726658
80,-64.68,65.52888348918336
90,-66.65,56.334942494261526
100,-68.7,48.97948222398397
110,-70.85,42.17642052265188
120,-73.09,36.258555932083276
130,-75.44,30.554155741266946
140,-77.89,25.352775093587745
150,-80.46,20.216735851432453
160,-83.15,15.379011085579076
170,-85.97,10.51044234725974
180,-88.92,5.8135232270301564
190,-92.02,1.024905980132111
200,-95.27,-3.6953579852977505
210,-98.68,-8.563970275260296
220,-102.26,-13.437347370971246
230,-106.03,-18.516024510620746
240,-109.99,-23.687673261819654
250,-114.15,-29.125046486329346
260,-118.52,-34.72047732126077
270,-123.13,-40.64907010618734
280,-127.97,-46.83592284748559
290,-133.07,-53.426225895894746
300,-138.44,-60.37480926986067
310,-144.1,-67.83839517017492
320,-150.05,-75.78791210162777
330,-156.31,-84.37321851437075
340,-162.89,-93.58826543637235
350,-169.81,-103.59924165849316
360,-177.08,-114.43147871431796
370,-184.71,-126.27989425024128
380,-192.69,-139.1926986183081
390,-201.04,-153.38307660834818
400,-209.74,-168.9610060843456
410,-218.79,-186.17928848851676
420,-228.14,-205.21622644001727
430,-237.75,-226.3590416912011
440,-247.56,-249.86452471918295
450,-257.47,-276.11882575646223
460,-267.35,-305.4796713100609
470,-277.0,-338.44785444749266
480,-286.18,-375.5056406516974
490,-294.54,-417.3306102463512
500,-301.61,-464.58551984833684
510,-306.78,-518.1539533286274
520,-309.19,-578.9701594511225
530,-307.71,-648.1656527404124
540,-300.82,-726.9967024345323
550,-286.41,-816.9532809645339
560,-261.6,-919.5968888500302
570,-222.39,-1036.6537272897951
580,-163.17,-1169.7251824792097
590,-75.92,-1320.0167758683488
600,50.83,-1487.289983396476
610,233.51,-1668.0909255307486
620,494.96,-1851.4005542779087
630,863.93,-2010.597112272929
640,1366.48,-2090.1576468116173
650,1997.51,-1996.221106795887
660,2672.4,-1622.1286902906177
670,3215.68,-933.2539333783782
680,3447.37,-32.249928987876295
690,3287.49,881.921643893787
700,2791.22,1604.3313674858832
710,2125.87,2014.2645682048458
720,1476.95,2129.539323939527
730,948.04,2054.7883091138674
740,555.46,1890.7081674217793
750,276.03,1698.9172287823612
760,80.44,1509.2928566204564
770,-55.43,1334.10430162174
780,-149.13,1177.1872178002864
790,-212.95,1038.6997807945008
800,-255.44,917.3234731329549
810,-282.62,811.2684979808985
820,-298.75,718.6493089604041
830,-306.88,637.745983727018
840,-309.25,566.9821379545579
850,-307.47,504.99481818545667
860,-302.76,450.59062395639427
870,-295.99,402.7389617752368
880,-287.83,360.57164247510286
890,-278.78,323.32551116878074
900,-269.2,290.33286369371615
910,-259.34,261.0569856209887
920,-249.43,235.0161473996935
930,-239.59,211.78151828648672
940,-229.93,191.02081520564067
950,-220.53,172.41285163204552
960,-211.43,155.694068921072
970,-202.66,140.63813097533688
980,-194.24,127.05504868398766
990,-186.19,114.7618444252165
1000,-178.49,103.61056439189335
1010,-171.16,93.48026593492649
1020,-164.17,84.2349101977859
1030,-157.52,75.80658761306475
1040,-151.2,68.0821206145625
1050,-145.2,60.99925492818674
1060,-139.49,54.46902386965371
1070,-134.07,48.467898722211814
1080,-128.92,42.89861230245583
1090,-124.02,37.765056681132634
1100,-119.38,32.980023225969035
1110,-114.96,28.53283724647084
1120,-110.76,24.37086100231404
1130,-106.76,20.492000669686995
1140,-102.96,16.841218356440447
1150,-99.34,13.421924042586397
1160,-95.9,10.182726297752598
1170,-92.62,7.127935516907779
1180,-89.49,4.217202307408602
1190,-86.51,1.4677676139578175
1200,-83.67,-1.1796030744910349
1210,-80.96,-3.701434304581805
1220,-78.36,-6.146326725868743
1230,-75.89,-8.470403112404309
1240,-73.53,-10.770731943943936
1250,-71.26,-12.970565049656454
1260,-69.1,-15.153560361168493
1270,-67.03,-17.270970001772998
1280,-65.05,-19.403513839292994
1290,-63.15,-21.491691325777467
1300,-61.32,-23.622030012463973
1310,-59.58,-25.72057659096823
1320,-57.9,-27.927813944615938
1330,-56.29,-30.11711701405794
1340,-54.75,-32.48205924012585
1350,-53.26,-34.88261689327604
1360,-51.83,-37.54589828910187
1370,-50.46,-40.32336242547041
1380,-49.14,-43.575445801731455
1390,-47.87,-47.113488714120905
1400,-46.65,-51.63899904923553
1410,-45.47,-57.172930448124454
1420,-44.34,-66.45563139200104
1430,-43.24,-77.30078786477077
1440,-42.19,-83.70429452559942
1450,-41.17,-83.93332166797227
1460,-40.19,-77.56728949262254
1470,-39.24,-66.63882308874739
1480,-38.32,-55.18665589968056
